RB,RS,age,knowledge,edu,risk,household,lnincome,city level,income
1,5063,62,3.75,4,1,1,8.517193191,3,5000
1,1500,30,3,7,1,1,8.517193191,3,5000
1,135,36,4.25,6,0,0,8.517193191,3,5000
1,500,35,4.5,3,1,0,8.517193191,3,5000
1,182,46,3,6,0,1,8.517193191,3,5000
1,5300,43,4.5,7,0,1,8.517193191,3,5000
1,0,42,4.5,4,0,1,8.517193191,3,5000
1,71,39,3.5,6,1,0,8.517193191,3,5000
1,626,57,2.75,3,0,0,8.517193191,3,5000
1,21000,25,3,7,0,1,8.517193191,3,5000
1,28287,57,3,9,0,0,8.517193191,3,5000
1,500,28,3,7,0,0,8.517193191,3,5000
1,2000,65,4.5,1,0,0,8.517193191,3,5000
1,2000,55,4.5,7,0,1,8.517193191,3,5000
1,48,44,4.5,4,0,0,8.517193191,3,5000
1,111,46,3.75,3,0,0,8.517193191,3,5000
1,151,41,3,4,0,0,8.517193191,3,5000
1,10000,29,3.5,6,0,0,8.517193191,2,5000
1,200,37,4.5,2,0,0,8.517193191,2,5000
1,750,62,4.5,3,0,0,8.517193191,3,5000
1,8000,39,4.25,5,0,1,8.517193191,3,5000
1,8307,36,4,7,0,0,8.517193191,3,5000
1,352,34,2.25,6,0,0,8.517193191,3,5000
1,111,52,3,8,0,1,8.517193191,3,5000
1,2000,22,3.75,8,0,0,8.517193191,3,5000
1,334,37,4,3,0,1,8.517193191,3,5000
1,300,31,4.5,3,0,1,8.517193191,3,5000
1,15000,38,4.25,7,0,0,8.517193191,3,5000
1,53,70,2.5,3,0,0,8.5754621,3,5300
1,1000,22,4.5,3,0,0,8.517193191,3,5000
1,100,77,3,6,0,1,8.517193191,3,5000
1,500,36,4,6,0,0,8.517193191,3,5000
1,2000,23,3.5,3,1,0,8.517193191,3,5000
1,10000,37,2.75,7,1,1,8.517193191,3,5000
1,5500,42,2.5,6,0,0,8.699514748,2,6000
1,900,22,3.25,3,0,1,8.517193191,3,5000
1,400,40,4.5,5,0,1,8.517193191,3,5000
1,1600,47,3.25,4,0,0,8.517193191,3,5000
1,81,35,3.5,4,0,0,8.517193191,3,5000
1,457,48,3.25,4,0,0,8.517193191,3,5000
1,300,38,3,5,0,0,8.517193191,3,5000
1,52000,34,2.75,7,1,0,8.517193191,3,5000
1,2500,51,4.25,6,0,1,8.517193191,3,5000
1,2000,19,4,5,1,0,8.517193191,2,5000
1,1000,41,4.5,7,0,1,8.517193191,3,5000
1,201,38,2,6,0,0,8.517193191,3,5000
1,871,26,4.25,3,0,0,8.517193191,2,5000
1,5000,22,4.5,3,1,1,8.517193191,3,5000
1,583,46,3.25,5,0,0,8.517193191,3,5000
1,1500,18,3.75,3,0,0,8.006367568,2,3000
1,7423,67,3.5,4,0,0,8.188689124,3,3600
1,200,49,4,4,0,1,8.517193191,3,5000
1,500,27,3.5,7,1,0,8.517193191,2,5000
1,3,35,3,6,0,1,8.517193191,2,5000
1,1082,34,3.25,7,1,1,8.517193191,2,5000
1,314,27,4,3,1,0,8.517193191,2,5000
1,321,43,4.5,5,0,0,8.517193191,2,5000
1,500,43,3.5,5,0,0,8.517193191,2,5000
1,3000,34,3.75,7,1,0,8.517193191,2,5000
1,1164,48,3.25,4,0,0,8.313852267,2,4080
1,7,75,4.5,3,0,1,8.699514748,2,6000
1,2000,32,4,7,1,0,8.517193191,2,5000
1,55,35,4.5,5,0,1,8.517193191,2,5000
1,5273,51,3.25,7,0,0,8.517193191,2,5000
1,100,19,3.5,4,1,0,8.517193191,3,5000
1,5000,55,3.25,3,0,0,8.853665428,3,7000
1,200,73,3.25,3,0,0,8.853665428,3,7000
1,1000,39,2.5,7,0,0,8.006367568,3,3000
1,50,63,4.5,5,0,1,8.517193191,3,5000
1,2000,44,3.5,8,0,1,8.517193191,3,5000
1,40000,64,2.25,4,0,1,8.517193191,3,5000
1,500,57,4.5,4,0,0,8.517193191,3,5000
1,2000,20,3.25,7,0,1,8.517193191,3,5000
1,900,38,2.75,4,1,1,8.517193191,3,5000
1,5000,29,4.25,4,0,1,8.517193191,3,5000
1,2000,39,4,7,1,1,8.517193191,3,5000
1,2000,34,2.5,5,1,0,8.517193191,3,5000
1,255,30,3.25,4,0,0,8.517193191,3,5000
1,1000,16,3.5,4,1,0,8.517193191,3,5000
1,6000,24,3,6,1,1,8.517193191,3,5000
1,34680,23,4,7,1,0,8.517193191,3,5000
1,80,30,3.25,7,1,0,8.517193191,3,5000
1,0,54,2.25,6,1,0,8.517193191,3,5000
1,5000,22,2.75,7,1,1,8.517193191,3,5000
1,256,32,4.5,7,0,0,8.517193191,3,5000
1,2500,22,3.25,7,1,1,8.517193191,3,5000
1,6000,29,3.5,7,0,0,8.517193191,3,5000
1,1750,33,3.5,6,0,0,8.517193191,3,5000
1,10000,21,3,6,1,1,8.517193191,3,5000
1,1500,73,3.25,3,0,0,8.672486076,3,5840
1,100,61,3.25,4,0,0,8.853665428,3,7000
1,2000,34,4.5,3,0,0,8.517193191,3,5000
1,98,34,4.5,3,0,0,8.517193191,3,5000
1,20000,57,3,6,1,1,8.517193191,3,5000
1,2000,56,3.75,6,0,1,8.517193191,3,5000
1,300,21,3.5,5,1,1,8.517193191,3,5000
1,0,72,1.75,7,0,1,8.517193191,3,5000
1,100,49,4.25,7,0,1,8.517193191,3,5000
1,467,31,4.5,5,0,0,8.517193191,3,5000
1,30,31,3,7,0,0,8.29404964,3,4000
1,281,37,3.25,5,0,0,8.517193191,3,5000
1,200,40,4.5,5,0,0,8.517193191,3,5000
1,2000,40,4,6,0,0,8.006367568,3,3000
1,200,66,3,3,0,0,8.517193191,3,5000
1,800,28,3.75,7,0,0,8.517193191,3,5000
