RB,RS,age,knowledge,edu,risk,household,lnincome,city level,income
1,150,37,2.75,5,0,0,8.29404964,1,4000
1,500,27,3.75,6,0,0,8.517193191,1,5000
1,28,34,2.75,7,1,1,8.517193191,2,5000
1,28,28,3.25,4,0,1,8.517193191,2,5000
1,1000,24,2.75,6,0,1,8.070906089,2,3200
1,5000,49,3,8,1,1,8.517193191,2,5000
1,500,31,3.5,7,1,1,8.517193191,2,5000
1,1000,21,4,6,0,0,8.517193191,2,5000
1,141,23,4.5,3,0,0,8.29404964,2,4000
1,58,34,3.25,7,0,0,8.853665428,2,7000
1,252,38,4.25,7,0,1,8.517193191,2,5000
1,77,22,3.25,5,0,0,8.764053269,2,6400
1,2000,28,2.75,5,0,0,8.517193191,2,5000
1,4000,35,2.75,7,1,0,8.517193191,2,5000
1,0,57,3,6,0,1,8.517193191,2,5000
1,36,76,1.75,7,1,1,8.517193191,2,5000
1,284,25,2.25,5,1,1,8.517193191,2,5000
1,15490,33,3.5,4,1,1,8.517193191,2,5000
1,35000,26,2.75,9,1,1,8.517193191,2,5000
1,1000,38,4.5,7,0,1,8.517193191,2,5000
1,3377,32,3.25,5,0,1,8.517193191,2,5000
1,200,30,4.25,4,0,1,8.517193191,2,5000
1,4000,49,4,2,0,1,8.517193191,2,5000
1,500,47,4,6,0,1,8.517193191,2,5000
1,2268,31,1,6,0,1,8.517193191,2,5000
1,450,38,3.75,3,0,0,8.517193191,2,5000
1,577,50,3.75,3,0,0,8.517193191,2,5000
1,5000,58,3.25,4,0,0,8.517193191,2,5000
1,176,27,4.25,6,1,1,8.517193191,2,5000
1,232,47,4.5,4,0,0,8.517193191,2,5000
1,263,43,4.5,7,0,0,8.517193191,2,5000
1,529,52,4.5,4,0,0,8.517193191,2,5000
1,1000,63,3.75,3,0,0,8.517193191,2,5000
1,100,61,4,2,0,0,8.517193191,2,5000
1,6000,43,4.25,7,0,0,8.517193191,2,5000
1,405,39,4.25,7,0,0,8.517193191,2,5000
1,300,69,4.5,3,0,0,8.517193191,2,5000
1,163,35,3.25,3,1,0,8.517193191,2,5000
1,240,66,4.5,2,0,0,8.006367568,2,3000
1,200,51,4.5,3,0,0,8.29404964,2,4000
1,100,56,4.25,6,1,0,8.006367568,2,3000
1,6000,21,2.25,3,1,0,8.517193191,2,5000
1,5000,29,4,7,0,0,8.517193191,2,5000
1,600,30,3.75,4,0,1,8.517193191,2,5000
1,247,42,4.25,7,0,1,8.517193191,1,5000
1,1000,48,4.5,3,0,0,8.517193191,3,5000
1,6513,38,2,7,0,1,8.517193191,1,5000
1,7000,57,4,4,0,1,8.517193191,1,5000
1,23,52,4.25,3,0,1,8.767173397,1,6420
1,7,31,4.25,4,0,0,8.517193191,2,5000
1,2000,28,4,4,0,1,8.517193191,1,5000
1,10000,50,3.5,6,0,1,8.517193191,1,5000
1,12,41,3,6,0,1,8.517193191,1,5000
1,42,30,4.25,4,1,1,8.517193191,1,5000
1,3000,61,3,3,0,0,8.517193191,1,5000
1,3000,24,3.25,3,0,0,8.517193191,1,5000
1,300,35,3.75,8,1,1,8.517193191,1,5000
1,54,20,4.25,5,0,0,8.517193191,1,5000
1,2000,31,3.75,7,1,1,8.517193191,1,5000
1,4300,48,2.25,3,0,0,8.853665428,1,7000
1,400,71,3.25,4,0,0,8.699514748,1,6000
1,100,36,1.75,7,1,1,8.517193191,1,5000
1,20,25,1.75,7,1,0,8.517193191,1,5000
1,300,62,1.25,1,0,0,8.517193191,1,5000
1,4500,62,3,6,0,1,8.517193191,1,5000
1,1000,28,4.25,4,0,0,8.517193191,1,5000
1,300,38,3.5,7,0,1,8.517193191,1,5000
1,10,28,4,6,0,1,8.517193191,1,5000
1,8000,31,2.25,7,0,0,8.517193191,1,5000
1,1000,34,3.25,4,0,0,8.517193191,1,5000
1,0,56,3.75,5,1,0,8.517193191,1,5000
1,200,33,4,6,0,1,8.517193191,1,5000
1,241,25,4,5,0,0,8.517193191,1,5000
1,200,22,4.25,3,0,1,8.517193191,1,5000
1,238,34,3.5,6,0,0,8.517193191,1,5000
1,200,32,4,4,0,0,8.517193191,2,5000
1,230,38,3.75,4,1,1,8.517193191,1,5000
